feature
SLpM_diff
SApM_diff
TD_Avg_diff
TD_Def_diff
Str_Acc_diff
Str_Def_diff
Height_diff
Reach_diff
Recent_form_score_diff
Win_streak_score_diff
Avg_opp_strength_diff
